,iso_code,region_group,income_group,country,survey,year,category,sex,location,wealth,comp_prim_v2_m,comp_lowsec_v2_m,comp_upsec_v2_m,comp_prim_1524_m,comp_lowsec_1524_m,comp_upsec_2029_m,eduyears_2024_m,edu2_2024_m,edu4_2024_m,eduout_prim_m,eduout_lowsec_m,eduout_upsec_m,comp_prim_v2_no,comp_lowsec_v2_no,comp_upsec_v2_no,comp_prim_1524_no,comp_lowsec_1524_no,comp_upsec_2029_no,eduyears_2024_no,edu2_2024_no,edu4_2024_no,eduout_prim_no,eduout_lowsec_no,eduout_upsec_no,edu0_prim_m,edu0_prim_no,trans_prim_m,trans_prim_no,trans_lowsec_m,trans_lowsec_no,comp_higher_2yrs_2529_m,comp_higher_2yrs_2529_no,comp_higher_4yrs_2529_m,comp_higher_4yrs_2529_no,comp_higher_4yrs_3034_m,comp_higher_4yrs_3034_no,attend_higher_1822_m,attend_higher_1822_no,overage2plus_m,overage2plus_no,literacy_1524_m,literacy_1524_no,mlevel1_m,mlevel1_no,rlevel1_m,rlevel1_no,slevel1_m,slevel1_no,mlevel2_m,mlevel2_no,rlevel2_m,rlevel2_no,slevel2_m,slevel2_no,mlevel3_m,mlevel3_no,rlevel3_m,rlevel3_no,slevel3_m,slevel3_no,mlevel4_m,mlevel4_no,rlevel4_m,rlevel4_no,slevel4_m,slevel4_no
10573,MAR,Northern Africa and Western Asia,Lower middle income,Morocco,DHS,2003,Location,,Rural,,0.349299997,0.108499996,0.043499999,,,,,,,0.192100003,0.453999996,0.776199996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10574,MAR,Northern Africa and Western Asia,Lower middle income,Morocco,DHS,2003,Location,,Urban,,0.749100029,0.497999996,0.305900007,,,,,,,0.0403,0.1197,0.321500003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10575,MAR,Northern Africa and Western Asia,Lower middle income,Morocco,DHS,2003,Location & Sex,Female,Rural,,0.265899986,0.055300001,0.017100001,,,,,,,0.236200005,0.556200027,0.864799976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10576,MAR,Northern Africa and Western Asia,Lower middle income,Morocco,DHS,2003,Location & Sex,Female,Urban,,0.761900008,0.484899998,0.284200013,,,,,,,0.039700001,0.127299994,0.333600014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10577,MAR,Northern Africa and Western Asia,Lower middle income,Morocco,DHS,2003,Location & Sex,Male,Rural,,0.433299989,0.167600006,0.076200001,,,,,,,0.149399996,0.352299988,0.682900012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10578,MAR,Northern Africa and Western Asia,Lower middle income,Morocco,DHS,2003,Location & Sex,Male,Urban,,0.735000014,0.512899995,0.3301,,,,,,,0.041000001,0.1118,0.308299989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10579,MAR,Northern Africa and Western Asia,Lower middle income,Morocco,DHS,2003,Location & Sex & Wealth,Female,Rural,Quintile 1,0.135000005,0.0155,0.0022,,,,,,,0.337700009,0.644400001,0.93720001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10580,MAR,Northern Africa and Western Asia,Lower middle income,Morocco,DHS,2003,Location & Sex & Wealth,Female,Rural,Quintile 2,0.321999997,0.045600001,0.0122,,,,,,,0.191699997,0.5255,0.849699974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10581,MAR,Northern Africa and Western Asia,Lower middle income,Morocco,DHS,2003,Location & Sex & Wealth,Female,Rural,Quintile 3,0.523400009,0.156200007,0.041499998,,,,,,,0.0528,0.341300011,0.725799978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10582,MAR,Northern Africa and Western Asia,Lower middle income,Morocco,DHS,2003,Location & Sex & Wealth,Female,Rural,Quintile 4,,,,,,,,,,0.0152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10583,MAR,Northern Africa and Western Asia,Lower middle income,Morocco,DHS,2003,Location & Sex & Wealth,Female,Urban,Quintile 2,0.523699999,0.176799998,0.078199998,,,,,,,0.121299997,0.269199997,0.561699986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10584,MAR,Northern Africa and Western Asia,Lower middle income,Morocco,DHS,2003,Location & Sex & Wealth,Female,Urban,Quintile 3,0.664200008,0.34889999,0.180600002,,,,,,,0.040199999,0.157000005,0.404599994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10585,MAR,Northern Africa and Western Asia,Lower middle income,Morocco,DHS,2003,Location & Sex & Wealth,Female,Urban,Quintile 4,0.805700004,0.484800011,0.253500015,,,,,,,0.031500001,0.101499997,0.344199985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10586,MAR,Northern Africa and Western Asia,Lower middle income,Morocco,DHS,2003,Location & Sex & Wealth,Female,Urban,Quintile 5,0.85650003,0.625999987,0.426200002,,,,,,,0.0228,0.084700003,0.204099998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10587,MAR,Northern Africa and Western Asia,Lower middle income,Morocco,DHS,2003,Location & Sex & Wealth,Male,Rural,Quintile 1,0.319200009,0.100000001,0.038199998,,,,,,,0.188600004,0.459300011,0.768400013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10588,MAR,Northern Africa and Western Asia,Lower middle income,Morocco,DHS,2003,Location & Sex & Wealth,Male,Rural,Quintile 2,0.463699996,0.164000005,0.094300002,,,,,,,0.138799995,0.310200006,0.643899977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10589,MAR,Northern Africa and Western Asia,Lower middle income,Morocco,DHS,2003,Location & Sex & Wealth,Male,Rural,Quintile 3,0.729700029,0.338200003,0.100500003,,,,,,,0.0634,0.138099998,0.512899995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10590,MAR,Northern Africa and Western Asia,Lower middle income,Morocco,DHS,2003,Location & Sex & Wealth,Male,Rural,Quintile 4,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10591,MAR,Northern Africa and Western Asia,Lower middle income,Morocco,DHS,2003,Location & Sex & Wealth,Male,Urban,Quintile 2,0.426600009,0.186800003,0.043099999,,,,,,,0.093999997,0.2412,0.5625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10592,MAR,Northern Africa and Western Asia,Lower middle income,Morocco,DHS,2003,Location & Sex & Wealth,Male,Urban,Quintile 3,0.601599991,0.3565,0.200800002,,,,,,,0.067000002,0.193599999,0.476500005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10593,MAR,Northern Africa and Western Asia,Lower middle income,Morocco,DHS,2003,Location & Sex & Wealth,Male,Urban,Quintile 4,0.793200016,0.555100024,0.347200006,,,,,,,0.026000001,0.062700003,0.246199995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
